"@timestamp","cloud.account.name","cloud.region","cloud.account.id","kubernetes.node.name","_index"
"May 6, 2026 @ 22:38:35.049","hedgeserv-app-uat","us-east-1","3.6973397917E10","ip-10-132-54-247.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:35.049","hedgeserv-app-uat","us-east-1","3.6973397917E10","ip-10-132-54-247.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:35.039","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-124-22.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:35.039","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-124-22.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:35.031","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-176-164.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:35.031","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-176-164.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:35.031","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-176-164.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:35.019","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-124-22.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:34.970","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-111-166.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:34.961","hedgeserv-app-uat","us-east-1","3.6973397917E10","ip-10-132-47-18.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:34.959","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-111-166.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:34.953","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-111-166.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:34.952","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-111-166.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:34.948","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-111-166.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:34.944","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-111-166.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:34.939","hedgeserv-app-uat","us-east-1",036973397917,"ip-10-132-111-166.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
"May 6, 2026 @ 22:38:34.901","hedgeserv-app-uat","us-east-1","3.6973397917E10","ip-10-132-177-91.ec2.internal",".ds-filebeat-8.19.5-mt-uat-2026.05.06-000592"
